,address,price,date
0,вул. Василя Стуса  ,9 000 грн,"Опубліковано 26 сер.
·
Перевірено 29 сер."
1,"вул. Молодіжна, 37",9 000 грн,Опубліковано 9 вер.
2,вул. Брацлавська,9 000 грн,Вчора о 21:09
3,вул. Дачна,9 000 грн,Опубліковано 19 вер.
4,вул. Шевченка,9 000 грн,Опубліковано 19 вер.
5,вул. Стельмаха,9 000 грн,Опубліковано 17 вер.
6,"вул. Пирогова, 9",9 000 грн,Опубліковано 14 вер.
7,"просп. Космонавтів, 69",9 000 грн,Опубліковано 13 вер.
8,"вул. Шевченка, 165",9 000 грн,Опубліковано 12 вер.
9,вул. Тимофіївська,9 000 грн,Опубліковано 7 вер.
10,"вул. Родіона Скалецького, 25А",9 000 грн,Опубліковано 7 вер.
11,вул. Пирогова,9 000 грн,Опубліковано 6 вер.
12,вул. Замостянська,9 000 грн,Опубліковано 31 сер.
13,просп. Космонавтів,9 000 грн,Опубліковано 30 сер.
14,"вул. Миколаївська, 33",9 000 грн,Опубліковано 26 сер.
15,вул. Лялі Ратушної,9 000 грн,Опубліковано 25 сер.
16,"вул. Дмитра Майбороди, 37",9 000 грн,Опубліковано 25 сер.
17,Немирівське шосе,9 000 грн,Опубліковано 22 лип.
18,вул. Миколаївська,9 500 грн,Опубліковано 14 вер.
19,вул. Марії Приймаченко(Покришкіна),9 500 грн,Опубліковано 31 сер.
20,вул. Пирогова,9 500 грн,Опубліковано 31 сер.
21,пров. Учительський,9 500 грн,Опубліковано 28 сер.
22,Подій) (Ленських Кримського Агатангела,9 998 грн,Опубліковано 2 сер.
23,"Немирівське шосе, 94  ",9 999 грн,"Опубліковано 26 сер.
·
Перевірено 26 сер."
24,вул. Григорія Сковороди(Пушкіна)  ,9 999 грн,"Опубліковано 17 вер.
·
Перевірено 13 вер."
25,вул. Стрілецька  ,9 999 грн,"Опубліковано 30 сер.
·
Перевірено 30 сер."
26,вул. Василя Порика,9 999 грн,Опубліковано 12 вер.
27,"вул. Зодчих, 4  ",10 000 грн,"Опубліковано 18 вер.
·
Перевірено 18 вер."
28,вул. Марії Приймаченко(Покришкіна)  ,10 000 грн,"Опубліковано 16 вер.
·
Перевірено 11 вер."
29,пл. Івана Богуна,10 000 грн,Вчора о 17:42
30,"вул. Анатолія Бортняка, 5",10 000 грн,Опубліковано 1 годину тому
31,"вул. Владислава Городецького, 2",10 000 грн,Вчора о 22:21
32,вул. Миколаївська,10 000 грн,Вчора о 21:41
33,вул. Марії Приймаченко(Покришкіна),10 000 грн,Вчора о 17:47
34,вул. Пирогова,10 000 грн,Вчора о 13:22
35,"вул. Синьоводська(Маяковського), 138",10 000 грн,Вчора о 13:10
36,вул. Замостянська,10 000 грн,Вчора о 14:33
37,"вул. Праведників світу(Максимовича), 45А",10 000 грн,Опубліковано 18 вер.
38,вул. Анатолія Бортняка,10 000 грн,Опубліковано 18 вер.
39,"вул. Миколаївська, 23",10 000 грн,Опубліковано 16 вер.
40,вул. Марії Приймаченко(Покришкіна),10 000 грн,Опубліковано 15 вер.
41,вул. Миколаївська,10 000 грн,Опубліковано 15 вер.
42,вул. Миколаївська,10 000 грн,Опубліковано 15 вер.
43,НОВОБУД ОПАЛЕННЯ АВТОНОМНЕ лікарня З-тя,10 000 грн,Опубліковано 14 вер.
44,вул. Тимофіївська,10 000 грн,Опубліковано 14 вер.
45,"вул. Дубовецька, 85А",10 000 грн,Опубліковано 12 вер.
46,"вул. Марії Приймаченко(Покришкіна), 8З",10 000 грн,Опубліковано 11 вер.
47,вул. Келецька,10 000 грн,Опубліковано 11 вер.
48,"вул. Григорія Сковороди(Пушкіна), 21",10 000 грн,Опубліковано 11 вер.
49,"вул. Зодчих, 2",10 000 грн,Опубліковано 11 вер.
50,"Янгеля, 24",10 000 грн,Опубліковано 11 вер.
51,вул. Шимка Максима,10 000 грн,Опубліковано 7 вер.
52,"квартал набережный 29 Чорновола, 29",10 000 грн,Опубліковано 7 вер.
53,вул. Дубовецька,10 000 грн,Опубліковано 7 вер.
54,вул. Гетьмана Мазепи(Чехова),10 000 грн,Опубліковано 5 вер.
55,вул. Гетьмана Мазепи(Чехова),10 000 грн,Опубліковано 4 вер.
56,Шимка Максима Карла Маркса,10 000 грн,Опубліковано 1 вер.
57,вул. Миколаївська,10 000 грн,Опубліковано 30 сер.
58,"вул. Миколаївська, 6",10 000 грн,Опубліковано 29 сер.
59,вул. Зодчих,10 000 грн,Опубліковано 26 сер.
60,вул. Миколаївська,10 000 грн,Опубліковано 25 сер.
61,вул. Лялі Ратушної,10 000 грн,Опубліковано 21 сер.
62,Заболотного,10 000 грн,Опубліковано 31 лип.
63,вул. Марії Литвиненко-Вольгемут,10 000 грн,Опубліковано 27 лип.
